time_s,train_speed,ebi_speed,run_level_speed,distance_to_stop,grade,phase,train_stopped,stop_point_id,restriction_distance,restriction_speed,restriction_grade
0.0,0.0,2200.0,2200.0,10000.0,0.0,cruise,0,5,8000;5000;2000,1500;800;400,0.0
1.0,500.0,2200.0,2200.0,9500.0,0.0,cruise,0,5,7500;4500;1500,1500;800;400,0.0
2.0,1000.0,2200.0,2200.0,9000.0,0.0,cruise,0,5,7000;4000;1000,1500;800;400,0.0
3.0,1400.0,2200.0,2200.0,8500.0,0.0,cruise,0,5,6500;3500;500,1500;800;400,0.0
4.0,1500.0,2200.0,2200.0,8000.0,0.0,cruise,0,5,6000;3000;0,1500;800;400,0.0
5.0,1500.0,2200.0,2200.0,7000.0,0.0,cruise,0,5,5000;2000;0,1500;800;400,0.0
6.0,1500.0,2200.0,2200.0,6000.0,0.0,cruise,0,5,4000;1000;0,1500;800;400,0.0
7.0,1400.0,2200.0,2200.0,5000.0,0.0,cruise,0,5,3000;0;0,1500;800;400,0.0
8.0,1100.0,2200.0,2200.0,4000.0,0.0,cruise,0,5,2000;0;0,1500;800;400,0.0
9.0,800.0,2200.0,2200.0,3000.0,0.0,cruise,0,5,1000;0;0,1500;800;400,0.0
10.0,500.0,2200.0,2200.0,2000.0,0.0,stop,0,5,500;0;0,800;0;0,0.0
11.0,300.0,2200.0,2200.0,1000.0,0.0,stop,0,5,200;0;0,400;0;0,0.0
12.0,150.0,2200.0,2200.0,300.0,0.0,stop,0,5,50;0;0,400;0;0,0.0
12.5,50.0,2200.0,2200.0,50.0,0.0,stop,0,5,0;0;0,400;0;0,0.0
13.0,5.0,2200.0,2200.0,0.0,stop,1,5,0;0;0,400;0;0,0.0
