time_s,train_speed,ebi_speed,run_level_speed,distance_to_stop,grade,phase,train_stopped,stop_point_id,restriction_distance,restriction_speed,restriction_grade
0.0,0.0,2200.0,2200.0,0.0,0.0,cruise,0,0,,,
0.2,200.0,2200.0,2200.0,0.0,0.0,cruise,0,0,,,
0.4,500.0,2200.0,2200.0,0.0,0.0,cruise,0,0,,,
0.6,800.0,2200.0,2200.0,0.0,0.0,cruise,0,0,,,
0.8,1100.0,2200.0,2200.0,0.0,0.0,cruise,0,0,,,
1.0,1400.0,2200.0,2200.0,0.0,0.0,cruise,0,0,,,
1.2,1700.0,2200.0,2200.0,0.0,0.0,cruise,0,0,,,
1.4,1900.0,2200.0,2200.0,0.0,0.0,cruise,0,0,,,
1.6,2050.0,2200.0,2200.0,0.0,0.0,cruise,0,0,,,
1.8,2150.0,2200.0,2200.0,0.0,0.0,cruise,0,0,,,
2.0,2200.0,2200.0,2200.0,0.0,0.0,cruise,0,0,,,
2.2,2200.0,2200.0,2200.0,0.0,0.0,cruise,0,0,,,
2.4,2200.0,2200.0,2200.0,0.0,0.0,cruise,0,0,,,
2.6,2200.0,2200.0,2200.0,0.0,0.0,cruise,0,0,,,
2.8,2200.0,2200.0,2200.0,0.0,0.0,cruise,0,0,,,
3.0,2200.0,2200.0,2200.0,0.0,0.0,cruise,0,0,,,
